rent_band,n,mean,median,mode_values,mode_tie_count,mode_frequency,min,q1,q3,max,selected_stat,selected_value,selected_value_issue
2600-2620k,0,,,,,,,,,,median,,no_valid_values
2620-2640k,0,,,,,,,,,,median,,no_valid_values
2640-2660k,0,,,,,,,,,,median,,no_valid_values
2660-2680k,0,,,,,,,,,,median,,no_valid_values
2680-2700k,0,,,,,,,,,,median,,no_valid_values
2700-2720k,0,,,,,,,,,,median,,no_valid_values
2720-2740k,0,,,,,,,,,,median,,no_valid_values
2740-2760k,0,,,,,,,,,,median,,no_valid_values
2760-2780k,0,,,,,,,,,,median,,no_valid_values
2780-2800k,0,,,,,,,,,,median,,no_valid_values
2800-2820k,0,,,,,,,,,,median,,no_valid_values
2820-2840k,0,,,,,,,,,,median,,no_valid_values
2840-2860k,0,,,,,,,,,,median,,no_valid_values
2860-2880k,0,,,,,,,,,,median,,no_valid_values
2880-2900k,0,,,,,,,,,,median,,no_valid_values
2900-2920k,0,,,,,,,,,,median,,no_valid_values
2920-2940k,0,,,,,,,,,,median,,no_valid_values
2940-2960k,0,,,,,,,,,,median,,no_valid_values
2960-2980k,0,,,,,,,,,,median,,no_valid_values
2980-3000k,0,,,,,,,,,,median,,no_valid_values
3000-3020k,0,,,,,,,,,,median,,no_valid_values
3020-3040k,0,,,,,,,,,,median,,no_valid_values
3040-3060k,0,,,,,,,,,,median,,no_valid_values
3060-3080k,0,,,,,,,,,,median,,no_valid_values
3080-3100k,0,,,,,,,,,,median,,no_valid_values
3100-3120k,0,,,,,,,,,,median,,no_valid_values
3120-3140k,0,,,,,,,,,,median,,no_valid_values
3140-3160k,0,,,,,,,,,,median,,no_valid_values
3160-3180k,0,,,,,,,,,,median,,no_valid_values
3180-3200k,0,,,,,,,,,,median,,no_valid_values
3200-3220k,0,,,,,,,,,,median,,no_valid_values
3220-3240k,0,,,,,,,,,,median,,no_valid_values
3240-3260k,0,,,,,,,,,,median,,no_valid_values
3260-3280k,0,,,,,,,,,,median,,no_valid_values
3280-3300k,0,,,,,,,,,,median,,no_valid_values
3300-3320k,0,,,,,,,,,,median,,no_valid_values
3320-3340k,0,,,,,,,,,,median,,no_valid_values
3340-3360k,0,,,,,,,,,,median,,no_valid_values
3360-3380k,0,,,,,,,,,,median,,no_valid_values
3380-3400k,0,,,,,,,,,,median,,no_valid_values
3400-3420k,0,,,,,,,,,,median,,no_valid_values
3420-3440k,0,,,,,,,,,,median,,no_valid_values
3440-3460k,0,,,,,,,,,,median,,no_valid_values
3460-3480k,0,,,,,,,,,,median,,no_valid_values
3480-3500k,0,,,,,,,,,,median,,no_valid_values
3500-3520k,0,,,,,,,,,,median,,no_valid_values
3520-3540k,0,,,,,,,,,,median,,no_valid_values
3540-3560k,0,,,,,,,,,,median,,no_valid_values
3560-3580k,0,,,,,,,,,,median,,no_valid_values
3580-3600k,0,,,,,,,,,,median,,no_valid_values
3600-3620k,0,,,,,,,,,,median,,no_valid_values
3620-3640k,0,,,,,,,,,,median,,no_valid_values
3640-3660k,0,,,,,,,,,,median,,no_valid_values
3660-3680k,0,,,,,,,,,,median,,no_valid_values
3680-3700k,0,,,,,,,,,,median,,no_valid_values
3700-3720k,0,,,,,,,,,,median,,no_valid_values
3720-3740k,0,,,,,,,,,,median,,no_valid_values
3740-3760k,0,,,,,,,,,,median,,no_valid_values
3760-3780k,0,,,,,,,,,,median,,no_valid_values
3780-3800k,1,151.0,151.0,151,1.0,1.0,151.0,151.0,151.0,151.0,median,151.0,
